Cuenta,Código QR,OLT,FSP,Latitud,Longitud,Ubicacion,Puerto N2,Estatus  
0100247683,TP652734,SAN_CRISTOBAL_DF,0/11/9,19.624288,-99.052016,Poste,9,ACTIVA
0100264870,TP880941,SAN_PEDRO_ATZOMPA_DF,0/5/9,19.680084,-98.982608,Poste,3,ACTIVA
0100268527,TP444849,ESPUELAS_DF,0/4/7,19.675224,-99.029023,Poste,3,ACTIVA
0100271085,TP457058,ESPUELAS_DF,0/1/9,19.679637,-99.035172,Poste,6,ACTIVA
0100277483,TP579616,COACALCO_DF,0/8/4,19.638763,-99.078891,Poste,7,CANCELADA
0100280477,TP652566,SAN_CRISTOBAL_DF,0/4/12,19.629288,-99.053265,Poste,3,ACTIVA
0100285146,TP579391,COACALCO_DF,0/5/1,19.630213,-99.08486,Poste,4,CANCELADA
0100288364,TP651746,SAN_CRISTOBAL_DF,0/2/6,19.622223,-99.085845,Poste,1,ACTIVA
0100295468,TP792598,SAN_CRISTOBAL_2_DF,0/2/8,19.61302,-99.065391,Poste,12,ACTIVA
0100297228,TP464959,SAN_CRISTOBAL_DF,0/1/7,19.634538,-99.06914,Poste,11,ACTIVA
0100307990,TP618590,HEROES_TECAMAC_DF,0/7/7,19.628587,-99.044609,Poste,16,ACTIVA
0100318944,TP95661,AZCATEPEC_DF,0/4/15,19.729063,-98.964891,Poste,16,ACTIVA
0100320399,TP582788,ESPUELAS_DF,0/7/7,19.656687,-99.036516,Poste,14,ACTIVA
0100321421,TP652208,SAN_CRISTOBAL_DF,0/16/4,19.634287,-99.076141,Poste,8,ACTIVA
0100326997,TP652948,SAN_CRISTOBAL_DF,0/5/7,19.626438,-99.063813,Poste,5,ACTIVA
0100330089,TP618446,HEROES_TECAMAC_DF,0/6/10,19.628162,-99.040703,Poste,9,ACTIVA
0100341466,TP884217,HEROES_TECAMAC_DF,0/6/1,19.630774,-99.040013,Poste,15,ACTIVA
0100343111,TP652722,SAN_CRISTOBAL_DF,0/13/12,19.616107,-99.077084,Poste,10,ACTIVA
0100351816,TP464500,SAN_CRISTOBAL_DF,0/2/14,19.639612,-99.077516,Poste,1,ACTIVA
0100374459,TP794183,SAN_CRISTOBAL_DF,0/11/4,19.634111,-99.077279,Edificio,6,ACTIVA
0100388071,TP792570,SAN_CRISTOBAL_DF,0/11/13,19.623938,-99.079297,Poste,6,ACTIVA
0100389997,TP652361,COACALCO_DF,0/2/4,19.633946,-99.083235,Poste,6,CANCELADA
0100391041,TP651650,SAN_CRISTOBAL_DF,0/7/11,19.616667,-99.090483,Poste,3,ACTIVA
0100400174,TP464500,SAN_CRISTOBAL_DF,0/2/14,19.639612,-99.077516,Poste,4,ACTIVA
0100403824,TP579098,SAN_CRISTOBAL_DF,0/12/1,19.635979,-99.081975,Poste,9,ACTIVA
0100408638,TP445412,SAN_PEDRO_ATZOMPA_DF,0/3/3,19.675677,-99.011666,Poste,2,ACTIVA
0100410414,TP652618,SAN_CRISTOBAL_DF,0/7/5,19.620076,-99.079023,Poste,2,ACTIVA
0100411091,TP792703,SAN_CRISTOBAL_DF,0/2/5,19.62104,-99.084328,Poste,5,ACTIVA
0100414323,TP651671,SAN_CRISTOBAL_DF,0/7/11,19.616162,-99.087641,Poste,9,ACTIVA
0100416846,TP537615,COACALCO_DF,0/2/4,19.636613,-99.082297,Poste,5,CANCELADA
0100419528,TP651667,SAN_CRISTOBAL_DF,0/7/11,19.616113,-99.090359,Poste,5,ACTIVA
0100436039,TP632342,HEROES_TECAMAC_DF,0/7/13,19.629713,-99.03739,Poste,1,ACTIVA
0100446286,TP584071,HEROES_TECAMAC_DF,0/16/0,19.626337,-99.037672,Poste,6,ACTIVA
0100446703,TP651638,SAN_CRISTOBAL_DF,0/15/11,19.619412,-99.084734,Poste,8,ACTIVA
100453501,TP652861,SAN_CRISTOBAL_DF,0/1/0,19.623762,-99.072297,Poste,9,CANCELADA
0100461645,TP416056,ESPUELAS_DF,0/3/0,19.673788,-99.016109,Poste,8,ACTIVA
0100464798,TP578424,COACALCO_DF,0/2/4,19.635187,-99.082766,Poste,6,CANCELADA
0100469481,TP794159,SAN_CRISTOBAL_DF,0/3/7,19.611988,-99.087922,Poste,9,ACTIVA
0100469791,TP79626,CARRETERA_85_DF,0/2/9,19.645961,-99.02762,Poste,3,ACTIVA
0100476875,TP579551,SAN_CRISTOBAL_DF,0/2/2,19.617064,-99.081828,Poste,3,ACTIVA
0100479608,TP537569,SAN_CRISTOBAL_DF,0/7/4,19.625364,-99.064391,Poste,6,ACTIVA
0100483989,TP651746,SAN_CRISTOBAL_DF,0/2/6,19.622223,-99.085845,Poste,7,ACTIVA
0100487861,TP578217,SAN_CRISTOBAL_DF,0/12/8,19.63319,-99.081295,Poste,4,ACTIVA
0100491797,TP583080,HEROES_TECAMAC_DF,0/5/11,19.625793,-99.044863,Poste,5,ACTIVA
0100493498,TP791815,HEROES_TECAMAC_DF,0/14/9,19.635173,-99.045934,Edificio,15,ACTIVA
0100508316,TP537611,COACALCO_DF,0/4/4,19.638137,-99.081891,Poste,3,CANCELADA
0100510246,TP578216,SAN_CRISTOBAL_DF,0/12/2,19.633175,-99.081301,Poste,2,ACTIVA
0100520839,TP578408,SAN_CRISTOBAL_DF,0/2/10,19.631612,-99.084297,Poste,2,ACTIVA
0100523609,TP579915,SAN_CRISTOBAL_DF,0/3/8,19.616939,-99.08364,Poste,10,ACTIVA
0100524497,TP584678,CHICONAUTLA_DF,0/8/15,19.625562,-99.015078,Poste,14,ACTIVA
0100542379,TP652754,SAN_CRISTOBAL_DF,0/4/6,19.633362,-99.063734,Poste,14,ACTIVA
0100546910,TP579423,SAN_CRISTOBAL_DF,0/2/15,19.626162,-99.076547,Poste,2,ACTIVA
0100550270,TP579553,SAN_CRISTOBAL_DF,0/3/9,19.618837,-99.082735,Poste,1,ACTIVA
0100564489,TP79966,ESPUELAS_DF,0/2/6,19.671334,-99.035849,Poste,3,ACTIVA
0100573272,TP583420,CHICONAUTLA_DF,0/3/3,19.622563,-99.01939,Poste,3,ACTIVA
0100574995,TP578220,SAN_CRISTOBAL_DF,0/12/2,19.632738,-99.07986,Poste,3,ACTIVA
